Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Kan Zehirlenmesi,ateş,solunumda zayıflık,tansiyon düşüklüğü,çok hızlı solunum,üşümek
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Farenjit,boğaz ağrısı,yutma güçlüğü,şişmiş lenf düğümleri,,
Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,ateş
Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,aile öyküsü
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,
Dehidrasyon,baygınlık,ateş,ishal,kusma,tansiyon düşüklüğü
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
İleus,bakterital apse,akut batın,hava sıvı seviyesi,nefes almak,karın hassasiyeti
Lupus,eklem ağrısı,yorgunluk,deri döküntüsü,,
Serebrovasküler Kaza,dizartri,bitkinlik,konuşma bozukluğu,kısmi yüz felci,hemipleji
Kötü Huylu Kolon Tümörü,doku bozukluğu,prostatizm,kabızlık,genel rahatsızlık,ishal
Dekübit Ülser,sistolik üfürüm,zayıf,ateş,,
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu
Kronik Alkol Zehirlenmesi,titreme,işitsel halüsinasyonlar,intihara meyilli,zula,sinirli ruh hali
Sanrı,bilinç kaybı,değişken ruh hali,umutsuz hissetmek,ajitasyon,işitsel halüsinasyonlar
Bronşiyal Spazm,nefes darlığı,yara dokusu,düşük ateş,bilinen ilaç alerjisi yok,ağrı
Bursit,ağrı,şişme,rahimde iltihaplanma,eklemleri tamponlayan küçük sıvı kesesi,
Endokardit,plöretik ağrı,kalınlaşmak,adele ağrısı,düşük ateş,gece terlemesi
Bağırsak Düğümlenmesi,karın ağrısı,mide bulantısı,kusma,şişkinlik,kabızlık
Trombositopeni,ezik,kanda monosit artışı,beyin omurilik sıvısı akıntısı,kanama,çok hızlı solunum
Adet Öncesi Gerginlik Sendromu,ruh halinde ani değişimler,şişkinlik,göğüslerde hassasiyet,sinirlilik,
Endometriozis,pelvik ağrısı,ağrılı dönemler,kısırlık,,
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Aort Kapağı Darlığı,göğüs ağrısı,eforla nefes darlığı,baygınlık,göğüs rahatsızlığı,sistolik üfürüm
Mesane Kanseri,idrarda kan,idrar yaparken ağrı veya yanma,sık idrara çıkma,idrara çıkma aciliyeti,idrar kaçırma
Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik
Adenokarsinom,vücut yapısının büyümesi,doku bozukluğu,vücut ağırlığının azalması,kabızlık,hırıltı
Kemik Erimesi,prostatizm,düşmek,aşırı kıllılık,burnunu çekmek,karın şişmesi
Melanom,vücut yapısının büyümesi,kısmi felç,ateş,gravida 0,ağrı
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Morbid Obezite,nefessiz kalma,hareketsizlik,göğüs ağrısı,öksürük,mutsuz
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Bağımlılık,sarhoşluk,titreme,ajitasyon,intihara meyilli,evsizlik
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Fıtık,karın ağrısı,ağrı,normalden daha hızlı ve derin nefes alma,dayanılmaz acı,mide bulantısı
Zona Hastalığı,sinir yolunu takip eden ağrılı döküntü,,,,
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Kronik Alkol Zehirlenmesi,titreme,işitsel halüsinasyonlar,intihara meyilli,zula,sinirli ruh hali
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Kolit,ateş,kalınlaşmak,yeşil balgam,kusma,mide bulantısı ve kusma
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
Nöropati,bitkinlik,uyuşukluk ve hissizlik,mide bulantısı ve kusma,erken uyanmak,plevral boşluğun hava ve sıvı ile dolması
Sıtma,üşümek,kusma,terlemek,baş ağrısı,kas ağrısı
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Kan Zehirlenmesi,ateş,solunumda zayıflık,tansiyon düşüklüğü,çok hızlı solunum,üşümek
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Romatizmal Eklem İltihabı,ağrı,şişme,eklemlerde kısıtlılık,,
Hepatit C,yorgunluk,sarımsı cilt,mide bulantısı,iştah kaybı,aile öyküsü
Periferik Damar Hastalığı,nefes darlığı,dinlenirken ağrı durumu,göğüs ağrısı,tepkisizlik,hiperkalemi
Kazanılmış Bağışıklık Sendromu,ateş,gece terlemesi,membranların kendiliğinden yırtılması,öksürük,vücut ağırlığının azalması
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Kolesteatom,kulak ağrısı,işitme kaybı,kulak drenajı,baş dönmesi veya vertigo,kulak çınlaması
Hiperbilirubinemi,siyanoz,çok hızlı solunum,para test 1,düşük nabız,makat prezantasyonu
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Diyabet,sık idrara çıkma,yorgunluk,iştah artışı,kilo kaybı,huzursuzluk
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Kronik Böbrek Yetmezliği,kusma,dik durma haricinde nefes darlığı,hiperkalemi,idrar azlığı,juguler venöz dolgunluk
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Mitral Kapak Yetmezliği,nefes darlığı,eforla nefes darlığı,semptom vermeyen,hamlık,baygınlık
Lösemi,yorgunluk,soluk cilt,sık enfeksiyonlar,kolay kanama veya morarma,
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
İyi Huylu Prostat Hipertrofisi,ruhsal durum değişiklikleri,kansızlık ve kilo kaybı,bayılma,ortostaz,dik durma haricinde nefes darlığı
Aort Kapağı Darlığı,göğüs ağrısı,eforla nefes darlığı,baygınlık,göğüs rahatsızlığı,sistolik üfürüm
Fıtık,karın ağrısı,ağrı,normalden daha hızlı ve derin nefes alma,dayanılmaz acı,mide bulantısı
Morbid Obezite,nefessiz kalma,hareketsizlik,göğüs ağrısı,öksürük,mutsuz
Baş ve Boyun Kanseri,kalıcı boğaz ağrısı,yutma güçlüğü,ses değişiklikleri,kulak ağrısı,boyun kitlesi
Ruhsal Depresyon,intihara meyilli hissetmek,intihara meyilli,işitsel halüsinasyonlar,umutsuz hissetmek,ağlamak
Karaciğer Hücrelerinin Primer Karsinomu,vücut yapısının büyümesi,dalak büyümesi,doku bozukluğu,felç,tümör hücresinin yayılması
Derin Toplar Damar Pıhtılaşması,şişme,ağrı,ezik,nefes darlığı,alt uzuvlarda ağrı
Solunum Yetmezliği,nefes darlığı,hemipleji,horlama,tepkisizlik,balgamlı öksürük
Endokardit,plöretik ağrı,kalınlaşmak,adele ağrısı,düşük ateş,gece terlemesi
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Hiperkolesterolemi,nefes darlığı,ağrı,göğüs ağrısı,ter,sigara içmemek
Hiperbilirubinemi,siyanoz,çok hızlı solunum,para test 1,düşük nabız,makat prezantasyonu
Artrit,kas güçsüzlüğü,boyun tutulması,eklemlerin şişmesi,hareket kısıtlılığı,ağrılı yürüyüş
Peptik Ülser,karın ağrısı,kısmi felç,mide bulantısı,kusma,birden fazla kasta ağrı
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Kırık,ağrı,şişme,morarma,şekil bozukluğu,hareket etme zorluğu
Hipoglisemi,aşırı açlık,konuşma bozukluğu,sinirlilik,çarpıntı hissi,kusma
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Nöropati,bitkinlik,uyuşukluk ve hissizlik,mide bulantısı ve kusma,erken uyanmak,plevral boşluğun hava ve sıvı ile dolması
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Serebrovasküler Kaza,dizartri,bitkinlik,konuşma bozukluğu,kısmi yüz felci,hemipleji
Manik Bozukluk,intihara meyilli,intihara meyilli hissetmek,artan enerji,aşırı uyku,beyazlama
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Divertiküloz,dışkının idrarda bulunması,kabızlık,bakterital apse,hem pozitif,denge kaybı
Aflatoksikoz,kusma,ishal,sarılık,karaciğer hasarı,ölüm
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Kolesteatom,kulak ağrısı,işitme kaybı,kulak drenajı,baş dönmesi veya vertigo,kulak çınlaması
Diyabet,sık idrara çıkma,yorgunluk,iştah artışı,kilo kaybı,huzursuzluk
Farenjit,boğaz ağrısı,yutma güçlüğü,şişmiş lenf düğümleri,,
Egzama,kaşıntı,iltihaplı cilt,döküntü,,
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,kanlı dışkı
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Dejeneratif Poliartrit,ağrı,gıda sindirememe,el uyuşması,genel rahatsızlık,uyuklama
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Yüksek Ateş,yüksek vücut ısısı,,,,
Divertikülit,karın ağrısı,bakterital apse,donukluk,kırmızı lekeler,ishal
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Kolon Kanseri,dışkı alışkanlıklarında değişiklik,ishalimsi,kabızlık,dışkı azalması,dışkıda kan
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,
Akantamoebkeratit,ağrı,kızarıklık,göz iltihabı,,
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,kanlı dışkı
Bipolar Bozukluk,aşırı ruh hali değişimleri,manito depresyonu,intihara meyilli hissetmek,artan enerji,intihara meyilli
Kanser,yumru,açıklanamayan kilo kaybı,yorgunluk,bağırsaktaki değişiklikler,mesane alışkanlığında değişiklik
Adenokarsinom,vücut yapısının büyümesi,doku bozukluğu,vücut ağırlığının azalması,kabızlık,hırıltı
Böbrek Hastalığı,nefes darlığı,hiperkalemi,göğüs ağrısı,ateş,gravida 0
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Testis Kanseri,testislerde şişlik veya yumru,ağrı veya rahatsızlık,testis boyutunda veya şeklinde değişiklikler,,
Hemolitik Anemi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,sarılık
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
Migren,şiddetli baş ağrısı, mide bulantısı, kusma, ışığa duyarlılık, sese duyarlılık
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma
Gastroparezi,mide bulantısı,kusma,erken doyma hissi,şişkinlik,karın ağrısı
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Hiperkolesterolemi,nefes darlığı,ağrı,göğüs ağrısı,ter,sigara içmemek
Meme Malign Neoplazmı,göğüste kitle,vücut yapısının büyümesi,dokunma hissinde bozukluklar,geriye itme,deri kızarıklığı
Diyabetik Ketoasidoz,sık idrara çıkma,kusma,mide bulantısı,karın ağrısı,garip hissetmek
Duygu Değişimi,aşırı yorgunluk,uykusuzluk,idrar tutamama,hastanın karşı gelmesi,umutsuz hissetmek
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Fibromiyalji,geniş alana yayılmış ağrı,yorgunluk,hassasiyet,,
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Hiperkolesterolemi,nefes darlığı,ağrı,göğüs ağrısı,ter,sigara içmemek
Adet Öncesi Gerginlik Sendromu,ruh halinde ani değişimler,şişkinlik,göğüslerde hassasiyet,sinirlilik,
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Hiperbilirubinemi,siyanoz,çok hızlı solunum,para test 1,düşük nabız,makat prezantasyonu
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları
Peptik Ülser Hastalığı,kusma,hazımsızlık,iştah kaybı,karın ağrısı,gaz çıkışı
Nötropeni,morarma,dalak büyümesi,gece terlemesi,düşük ateş,doku bozukluğu
Gut,şişme,kızarıklık,yoğun eklem ağrısı,ani sıcak basması,ağrı
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Peptik Ülser,karın ağrısı,kısmi felç,mide bulantısı,kusma,birden fazla kasta ağrı
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Bitler,kaşıntı,saçta gözle görülür bit varlığı,,,
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık
Hipertansif Kalp Hastalığı,yüksek tansiyon,göğüs ağrısı veya rahatsızlığı,nefes darlığı,yorgunluk,
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Akciğer Embolisi,nefes darlığı,kanda düşük oksijen,çok hızlı solunum,kan hücresi azalması,göğüs ağrısı
Hiperlipidemi,göğüs ağrısı,çarpıntı,q dalgasının varlığı,gözde ışık çakması,ter
Pulmoner Fibroz,nefes darlığı,kuru öksürük,yorgunluk,,
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Kıl Kurdu Enfeksiyonu,anüs veya vajina çevresinde kaşıntı,huzursuz uyku,sinirlilik,anal veya vajinal akıntı,karın ağrısı veya rahatsızlık
Mononükleoz,ateş,boğaz ağrısı,yorgunluk,şişmiş lenf düğümleri,döküntü
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Bronşiyal Spazm,nefes darlığı,yara dokusu,düşük ateş,bilinen ilaç alerjisi yok,ağrı
İshal,ishal,sulu dışkı,,,
Paroymsal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Hiperkolesterolemi,nefes darlığı,ağrı,göğüs ağrısı,ter,sigara içmemek
Manik Bozukluk,intihara meyilli,intihara meyilli hissetmek,artan enerji,aşırı uyku,beyazlama
Ansefalit,baş ağrısı,ateş,bilinç bulanıklığı,nöbetler,nörolojik semptomlar
Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,bilinç bulanıklığı,konuşma zorluğu,tek gözde görme sorunu
Felç (beyin kanaması),kusma,baş ağrısı,vücudun bir tarafının zayıflığı,zihin bulanıklığı,
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Kemik Erimesi,prostatizm,düşmek,aşırı kıllılık,burnunu çekmek,karın şişmesi
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,
Burun Apsesi,ağrı,şişme,kızarıklık,burun akıntısı,
Ekzantem,ateş,kaşıntı,leke veya benek,doku bozukluğu,kızarıklık
Bakteriyel Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Deliryum,dengesiz yürüyüş,içine kapanmak,kanda sodyum azlığı,sözlü taciz edici davranış,intihara meyilli hissetmek
Akciğer Embolisi,nefes darlığı,kanda düşük oksijen,çok hızlı solunum,kan hücresi azalması,göğüs ağrısı
Lösemi,yorgunluk,soluk cilt,sık enfeksiyonlar,kolay kanama veya morarma,
Hepatit B,karın ağrısı,gözlerin sararması,keyifsizlik,kan nakli almak,steril olmayan enjeksiyonlar almak
Diyabet,sık idrara çıkma,yorgunluk,iştah artışı,kilo kaybı,huzursuzluk
Kronik Baş Ağrısı,kalıcı baş ağrısı,boyun ve omuzlarda gerginlik,,,
Malign Neoplazmalar,vücut yapısının büyümesi,doku bozukluğu,kalınlaşmak,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Akciğer Amfizemi,artan motor aktiviteyi gösteren davranış,yara dokusu,eforla nefes darlığı,koordinasyon bozukluğu,adele ağrısı
Divertikülit,karın ağrısı,bakterital apse,donukluk,kırmızı lekeler,ishal
Kardiyomiyopati,nefes darlığı,dik durma haricinde nefes darlığı,hamlık,juguler venöz dolgunluk,çarpıntı
Sıtma,üşümek,kusma,terlemek,baş ağrısı,kas ağrısı
Burun Apsesi,ağrı,şişme,kızarıklık,burun akıntısı,
Grip,ateş,boğaz ağrısı,baş ağrısı,öksürük,burun akıntısı veya tıkalı burun
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Ruhsal Depresyon,intihara meyilli hissetmek,intihara meyilli,işitsel halüsinasyonlar,umutsuz hissetmek,ağlamak
Siroz,karın şişmesi,yorgunluk,sarılık,kolay morarma ve kanama,bilinç bulanıklığı
Aort Kapağı Darlığı,göğüs ağrısı,eforla nefes darlığı,baygınlık,göğüs rahatsızlığı,sistolik üfürüm
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı
Mitral Kapak Yetmezliği,nefes darlığı,eforla nefes darlığı,semptom vermeyen,hamlık,baygınlık
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Göz Nezlesi,kırmızı,kaşıntı,gözlerde sulanma,,
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Kardiyomiyopati,nefes darlığı,dik durma haricinde nefes darlığı,hamlık,juguler venöz dolgunluk,çarpıntı
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Selülit,deri kızarıklığı,ağrı,şişme,kızarıklık,ateş
Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Anemi,yorgunluk,nefes darlığı,baş dönmesi,soluk cilt,denge kaybı
Kan Pıhtısı,ağrı,şişme,kızarıklık,sıcaklık,zarar görmüş bölgede hassasiyet
Mesane Bozukluğu,sık idrara çıkma,aciliyet,pelvik ağrısı,,
Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,bilinç bulanıklığı,konuşma zorluğu,tek gözde görme sorunu
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Çölyak Hastalığı,ishal,şişkinlik,kilo kaybı,yorgunluk,karın ağrısı
Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar
Dang Humması,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Anemi,yorgunluk,nefes darlığı,baş dönmesi,soluk cilt,denge kaybı
Testis Kanseri,testislerde şişlik veya yumru,ağrı veya rahatsızlık,testis boyutunda veya şeklinde değişiklikler,,
Melanom,vücut yapısının büyümesi,kısmi felç,ateş,gravida 0,ağrı
Malign Neoplazmalar,vücut yapısının büyümesi,doku bozukluğu,kalınlaşmak,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Nöropati,bitkinlik,uyuşukluk ve hissizlik,mide bulantısı ve kusma,erken uyanmak,plevral boşluğun hava ve sıvı ile dolması
Serebrovasküler Kaza,dizartri,bitkinlik,konuşma bozukluğu,kısmi yüz felci,hemipleji
Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,ateş
